RFM,Segment,No,Group Segment
155,Champions,1,1.Champions
154,Champions,1,1.Champions
144,Champions,1,1.Champions
145,Champions,1,1.Champions
254,Champions,1,1.Champions
255,Champions,1,1.Champions
245,Champions,1,1.Champions
143,Loyal Customers,2,2.Loyal Customers
244,Loyal Customers,2,2.Loyal Customers
235,Loyal Customers,2,2.Loyal Customers
355,Loyal Customers,2,2.Loyal Customers
354,Loyal Customers,2,2.Loyal Customers
345,Loyal Customers,2,2.Loyal Customers
344,Loyal Customers,2,2.Loyal Customers
335,Loyal Customers,2,2.Loyal Customers
153,Potential loyalist,3,3.Potential loyalist
151,Potential loyalist,3,3.Potential loyalist
152,Potential loyalist,3,3.Potential loyalist
141,Potential loyalist,3,3.Potential loyalist
142,Potential loyalist,3,3.Potential loyalist
133,Potential loyalist,3,3.Potential loyalist
132,Potential loyalist,3,3.Potential loyalist
131,Potential loyalist,3,3.Potential loyalist
252,Potential loyalist,3,3.Potential loyalist
251,Potential loyalist,3,3.Potential loyalist
242,Potential loyalist,3,3.Potential loyalist
241,Potential loyalist,3,3.Potential loyalist
231,Potential loyalist,3,3.Potential loyalist
253,Potential loyalist,3,3.Potential loyalist
233,Potential loyalist,3,3.Potential loyalist
232,Potential loyalist,3,3.Potential loyalist
223,Potential loyalist,3,3.Potential loyalist
353,Potential loyalist,3,3.Potential loyalist
352,Potential loyalist,3,3.Potential loyalist
351,Potential loyalist,3,3.Potential loyalist
342,Potential loyalist,3,3.Potential loyalist
341,Potential loyalist,3,3.Potential loyalist
333,Potential loyalist,3,3.Potential loyalist
323,Potential loyalist,3,3.Potential loyalist
112,Recent customers,4,4.Recent customers
111,Recent customers,4,4.Recent customers
222,Recent customers,4,4.Recent customers
221,Recent customers,4,4.Recent customers
212,Recent customers,4,4.Recent customers
211,Recent customers,4,4.Recent customers
311,Recent customers,4,4.Recent customers
125,Promising,5,5.Promising
124,Promising,5,5.Promising
123,Promising,5,5.Promising
122,Promising,5,5.Promising
121,Promising,5,5.Promising
115,Promising,5,5.Promising
114,Promising,5,5.Promising
113,Promising,5,5.Promising
225,Promising,5,5.Promising
224,Promising,5,5.Promising
213,Promising,5,5.Promising
214,Promising,5,5.Promising
215,Promising,5,5.Promising
315,Promising,5,5.Promising
314,Promising,5,5.Promising
313,Promising,5,5.Promising
135,Need Attention,6,6.Need Attention
134,Need Attention,6,6.Need Attention
243,Need Attention,6,6.Need Attention
234,Need Attention,6,6.Need Attention
343,Need Attention,6,6.Need Attention
334,Need Attention,6,6.Need Attention
325,Need Attention,6,6.Need Attention
324,Need Attention,6,6.Need Attention
331,About to sleep,7,7.About to sleep
321,About to sleep,7,7.About to sleep
312,About to sleep,7,7.About to sleep
421,About to sleep,7,7.About to sleep
413,About to sleep,7,7.About to sleep
455,At risk,8,8.At risk
454,At risk,8,8.At risk
445,At risk,8,8.At risk
444,At risk,8,8.At risk
453,At risk,8,8.At risk
452,At risk,8,8.At risk
443,At risk,8,8.At risk
442,At risk,8,8.At risk
435,At risk,8,8.At risk
434,At risk,8,8.At risk
425,At risk,8,8.At risk
424,At risk,8,8.At risk
553,At risk,8,8.At risk
552,At risk,8,8.At risk
545,At risk,8,8.At risk
543,At risk,8,8.At risk
542,At risk,8,8.At risk
535,At risk,8,8.At risk
534,At risk,8,8.At risk
533,At risk,8,8.At risk
525,At risk,8,8.At risk
524,At risk,8,8.At risk
555,Can not lose them,9,9.Can not lose them
554,Can not lose them,9,9.Can not lose them
544,Can not lose them,9,9.Can not lose them
414,Can not lose them,9,9.Can not lose them
415,Can not lose them,9,9.Can not lose them
515,Can not lose them,9,9.Can not lose them
514,Can not lose them,9,9.Can not lose them
513,Can not lose them,9,9.Can not lose them
332,Hibernating,10,10.Hibernating
322,Hibernating,10,10.Hibernating
431,Hibernating,10,10.Hibernating
441,Hibernating,10,10.Hibernating
451,Hibernating,10,10.Hibernating
433,Hibernating,10,10.Hibernating
432,Hibernating,10,10.Hibernating
423,Hibernating,10,10.Hibernating
422,Hibernating,10,10.Hibernating
532,Hibernating,10,10.Hibernating
523,Hibernating,10,10.Hibernating
522,Hibernating,10,10.Hibernating
412,Hibernating,10,10.Hibernating
411,Hibernating,10,10.Hibernating
511,Lost,11,11.Lost
512,Lost,11,11.Lost
521,Lost,11,11.Lost
531,Lost,11,11.Lost
541,Lost,11,11.Lost
551,Lost,11,11.Lost
